Area,Year,Value
Dominica,2004,234.5
Dominica,2010,279
Dominican Republic,2000,550.8
Dominican Republic,2005,575.5
Dominican Republic,2010,704.7
Ecuador,2000,716.7
Ecuador,2005,698.2
Egypt,1975,1194
Egypt,1995,909.1
Egypt,2000,963.2
Egypt,2010,910.6
El Salvador,1992,135.2
El Salvador,2000,234.3
El Salvador,2005,353.8
Equatorial Guinea,1987,29.13
Equatorial Guinea,2000,30.65
Eritrea,2000,109.1
Eritrea,2004,132.1
Estonia,1992,1729
Estonia,1995,963.1
Estonia,2002,1022
Estonia,2007,1365
Estonia,2012,1232
Estonia,2014,1310
Ethiopia,2002,78.96
Ethiopia,2005,97.18
Ethiopia,2016,106.1
Fiji,1987,41.57
Fiji,2000,100.2
Fiji,2005,101.7
Finland,1970,710.4
Finland,1975,749.1
Finland,1980,766.7
Finland,1985,810.2
Finland,1990,466.1
Finland,1995,503
Finland,1999,447.6
Finland,2006,1241
France,1980,568
France,1985,623
France,1992,682.1
France,1997,517.3
France,2002,538.8
France,2007,506.9
France,2012,475.6
Gabon,1987,68.42
Gabon,2000,93.33
Gabon,2005,96.53
Gambia,1982,30.85
Gambia,2000,69.19
Georgia,2005,413.4
Georgia,2008,440.4
Germany,1991,577.8
Germany,1995,551.3
Germany,2001,479.2
Germany,2007,399.5
Germany,2010,410.5
Ghana,1970,33.03
Ghana,2000,49.63
Greece,1970,480.4
Greece,1975,462
Greece,1980,515.8
Greece,1985,550.7
Greece,1992,778.8
Greece,1997,805.2
Greece,2002,840.9
Greece,2007,865.2
Grenada,2005,96.53
Grenada,2014,132
Guatemala,2006,240.9
Guinea,1987,137.7
Guinea,2001,60.71
Guinea-Bissau,1991,15.02
Guinea-Bissau,1996,141.8
Guinea-Bissau,2000,127.6
Guyana,1992,2035
Guyana,2000,2207
Guyana,2010,1905
Haiti,1991,132.7
Haiti,1995,158.4
Haiti,2009,140.9
Honduras,2003,225.3
Hungary,1970,286.1
Hungary,1975,372.3
Hungary,1980,448.2
Hungary,1985,605.9
Hungary,1992,688.6
Hungary,1996,582.9
Hungary,2002,562.5
Hungary,2007,554.8
Hungary,2012,507.2
Iceland,1980,463.3
Iceland,1985,453.6
Iceland,1992,642.6
Iceland,2002,575.1
Iceland,2004,540.3
Iceland,2012,11042
Iceland,2015,844.9
India,1975,583.8
India,1980,600.2
India,1986,608.6
India,1990,551.6
India,2000,559.9
India,2010,602.3
Indonesia,1990,395.9
Indonesia,2000,521.2
Iran (Islamic Republic of),1975,1293
Iran (Islamic Republic of),1995,1330
Iran (Islamic Republic of),2001,1325
Iran (Islamic Republic of),2004,1301
Iraq,1975,3255
Iraq,1980,2826
Iraq,1985,2517
Iraq,1990,2317
Iraq,1995,2528
Iraq,2000,2646
Ireland,1980,305.6
Ireland,1994,317.3
Ireland,2007,166.3
Ireland,2009,162.2
Israel,1970,515.5
Israel,1975,464.4
Israel,1980,437.7
Israel,1986,450.7
Israel,1990,375.3
Israel,1995,321.8
Israel,2002,293.4
Israel,2004,282.3
Italy,1970,766.7
Italy,2000,787.6
Italy,2008,899.8
Jamaica,1993,366.1
Jamaica,2007,300.2
Japan,1980,749.3
Japan,1992,742
Japan,1997,713.6
Japan,2002,670.5
Japan,2007,652.1
Japan,2009,640.6
Jordan,1975,215.6
Jordan,1980,217.2
Jordan,1985,207.6
Jordan,1992,262.8
Jordan,2002,162.6
Jordan,2007,161.8
Jordan,2012,121.4
Jordan,2015,145.4
Kazakhstan,1995,2177
Kazakhstan,2002,1312
Kazakhstan,2007,1315
Kazakhstan,2010,1257
Kenya,1990,81.86
Kenya,2003,62.28
Kenya,2010,75.64
Kuwait,1994,319.1
Kuwait,2002,447.2
Kyrgyzstan,1994,2131
Kyrgyzstan,2000,2005
Kyrgyzstan,2006,1531
Lao People's Democratic Republic,2005,588
Latvia,1995,171.7
Latvia,2002,110.6
Latvia,2007,100.5
Latvia,2012,127.7
Latvia,2013,125.8
Lebanon,1975,288.2
Lebanon,1994,418
Lebanon,2000,406.8
Lebanon,2005,320.7
Lesotho,1987,32.89
Lesotho,2000,23.24
Liberia,1987,59.2
Liberia,2000,42.59
Libya,1975,422.5
Libya,1980,426.1
Libya,1985,764
Libya,1990,1035
Libya,1994,908.7
Libya,2000,784
Libya,2005,809.1
Libya,2012,927.9
Lithuania,1995,1218
Lithuania,2001,806.3
Lithuania,2007,695.2
Lithuania,2011,209.4
Luxembourg,1970,84.92
Luxembourg,1975,102.6
Luxembourg,1980,95.2
Luxembourg,1985,159.9
Luxembourg,1995,130.5
Luxembourg,1999,136.4
Luxembourg,2012,83.57
Luxembourg,2013,76
Madagascar,1984,1543
Madagascar,2000,798.9
Madagascar,2006,700
Malawi,1994,91.23
Malawi,2002,112.4
Malawi,2005,100.5
Malaysia,1990,526.9
Malaysia,1996,251.7
Malaysia,2000,381.3
Malaysia,2005,419
Maldives,1987,16.74
Maldives,2008,17.11
Mali,1987,168.5
Mali,2006,376.9
Malta,1980,61.16
Malta,1995,147.8
Malta,2002,137.5
Malta,2007,138.2
Malta,2012,96.01
Malta,2013,108.2
Mauritania,1980,449.5
Mauritania,2000,554.9
Mauritania,2005,405.6
Mauritius,1975,390.3
Mauritius,1990,522.6
Mauritius,1995,532.9
Mauritius,2000,507.5
Mauritius,2003,588
Mexico,1980,771.9
Mexico,2002,687.6
Mexico,2007,697.8
Mexico,2012,677.7
Mexico,2015,674.4
Monaco,1990,224.4
Monaco,1997,192.1
Monaco,2002,177.6
Monaco,2007,156.9
Monaco,2009,133.7
Mongolia,1993,183.2
Mongolia,2006,208.3
Mongolia,2009,196.2
Montenegro,2010,257.9
Morocco,1975,481.6
Morocco,1980,477
Morocco,1985,466.9
Morocco,1992,426.8
Morocco,1995,403.1
Morocco,2002,501.8
Morocco,2010,316.2
Mozambique,1990,42.59
Mozambique,2001,45.7
Mozambique,2015,52.65
Myanmar,1987,706.4
Myanmar,2000,682.5
Namibia,1985,112.3
Namibia,1991,164.5
Namibia,1995,155.3
Namibia,2002,147.1
Nepal,2000,390
Nepal,2006,364.4
Netherlands,1980,645.2
Netherlands,1985,638.8
Netherlands,1991,527.7
Netherlands,1996,416.2
Netherlands,2002,554.5
Netherlands,2007,665.1
Netherlands,2012,640
New Zealand,1980,376.3
New Zealand,1985,574
New Zealand,1999,792.5
New Zealand,2006,1158
New Zealand,2010,1172
Nicaragua,2001,268.4
Nicaragua,2011,262.9
Niger,1988,59.23
Niger,2005,67.7
Nigeria,1987,63.23
Nigeria,2000,79.77
Nigeria,2005,78.63
Nigeria,2010,74.12
Norway,1980,486.9
Norway,1996,548.4
Norway,2002,528.8
Norway,2007,641.5
Occupied Palestinian Territory,2001,82.52
Occupied Palestinian Territory,2005,111.3
Oman,1991,617.7
Oman,2000,585.4
Oman,2003,509.3
Pakistan,1975,2162
Pakistan,1991,1370
Pakistan,2000,1196
Pakistan,2008,1034
Panama,2010,277
Papua New Guinea,2000,48.01
Papua New Guinea,2005,61.39
Paraguay,1987,110.7
Paraguay,2000,88.95
Paraguay,2012,378.3
Peru,2008,452.9
Philippines,2006,886.9
Philippines,2009,849.4
Poland,1970,303.3
Poland,1975,389
Poland,1980,414.3
Poland,1985,433.4
Poland,1992,348.7
Poland,1997,331.8
Poland,2002,305
Poland,2007,312.5
Poland,2012,297.3
Portugal,1991,864.9
Portugal,1998,1075
Portugal,2007,867.3
Puerto Rico,1990,1174
Puerto Rico,2000,1023
Puerto Rico,2005,1113
Puerto Rico,2010,1124
Qatar,1975,822.4
Qatar,1994,539.4
Qatar,2000,463.3
Qatar,2005,376.6
Republic of Korea,1990,470.6
Republic of Korea,1997,561.8
Republic of Korea,2002,623.5
Republic of Korea,2005,605.7
Republic of Moldova,1992,448.7
Republic of Moldova,2007,258
Romania,1970,456.4
Romania,1975,652.1
Romania,1980,823
Romania,1985,879.4
Romania,1990,873.2
Romania,1997,550.5
Romania,2002,422
Romania,2007,328.1
Romania,2012,325
Romania,2013,328.9
Russian Federation,1994,521.7
Russian Federation,2001,455.9
Russian Federation,2013,425.2
Rwanda,2000,17.57
Saint Kitts and Nevis,2012,290.8
Saint Lucia,2007,252.1
Saint Vincent and the Grenadines,1995,92.59
Saint Vincent and the Grenadines,2013,77.63
Sao Tome and Principe,1993,53.8
Saudi Arabia,1992,978.2
Saudi Arabia,2006,907.5
Senegal,1987,198.6
Senegal,2002,213.8
Serbia,2007,433.5
Serbia,2012,430.7
Serbia,2013,468.9
Seychelles,1989,163.7
Seychelles,2005,150.8
Sierra Leone,1987,100.5
Sierra Leone,2000,42.72
Sierra Leone,2005,39.36
Singapore,1975,81.97
Slovakia,1997,243.6
Slovakia,2002,203.2
Slovakia,2007,127.6
Slovakia,2012,122.8
Slovakia,2014,103.1
Slovenia,2002,452.3
Slovenia,2007,463.5
Slovenia,2012,449.9
Slovenia,2013,559
Somalia,1987,131.9
Somalia,2000,420.3
Somalia,2003,370.2
South Africa,1990,344.4
South Africa,1995,300.5
South Africa,2000,276.4
South Africa,2013,284.5
South Sudan,2011,59.92
Spain,1975,983.5
Spain,1980,1045
Spain,1986,1177
Spain,1991,936.6
Spain,1997,865.1
Spain,2002,859.5
Spain,2007,786.8
Spain,2012,800.9
Sri Lanka,1990,550.6
Sri Lanka,2000,682.5
Sri Lanka,2005,653.6
Sudan,2011,714.1
Suriname,1987,1198
Suriname,2000,1378
Suriname,2006,1229
Swaziland,1980,1028
Swaziland,2000,963
Sweden,1970,501.5
Sweden,1975,501.5
Sweden,1980,493.3
Sweden,1985,353
Sweden,1992,342.6
Sweden,1997,306
Sweden,2002,300.3
Sweden,2007,287.3
Sweden,2010,281.8
Switzerland,1975,409.7
Switzerland,1980,408.3
Switzerland,1985,405.1
Switzerland,1992,395.5
Switzerland,1997,360.9
Switzerland,2002,347.7
Switzerland,2012,249.9
Syrian Arab Republic,1975,413
Syrian Arab Republic,1997,952.3
Syrian Arab Republic,2002,962.5
Syrian Arab Republic,2005,862.8
Tajikistan,1994,1999
Tajikistan,2000,1867
Tajikistan,2006,1619
Thailand,2007,863.7
The former Yugoslav Republic of Macedonia,1996,789.7
The former Yugoslav Republic of Macedonia,2002,312.1
The former Yugoslav Republic of Macedonia,2007,268.7
Timor-Leste,2004,1148
Togo,1987,26.21
Togo,2002,32.87
Trinidad and Tobago,1997,235.5
Trinidad and Tobago,2000,245.7
Trinidad and Tobago,2005,263.6
Trinidad and Tobago,2011,285.5
Tunisia,1975,180.9
Tunisia,1980,282.2
Tunisia,1985,299
Tunisia,1990,357.4
Tunisia,1995,304.5
Tunisia,2001,288.9
Tunisia,2011,303.7
Turkey,1992,566.2
Turkey,2000,644.9
Turkey,2003,576.9
Turkey,2008,561.3
Turkmenistan,1994,5484
Turkmenistan,2000,5415
Turkmenistan,2004,5753
Uganda,1970,20.02
Uganda,2002,12.52
Uganda,2008,17.99
Ukraine,1992,506.7
Ukraine,2000,381.7
Ukraine,2005,326.1
Ukraine,2010,327.7
United Arab Emirates,1980,777.2
United Arab Emirates,1995,812.3
United Arab Emirates,2000,855.6
United Arab Emirates,2005,665.2
United Kingdom,1980,240.2
United Kingdom,1985,203.5
United Kingdom,1990,209.9
United Kingdom,1995,208
United Kingdom,2002,266.6
United Kingdom,2007,139.2
United Kingdom,2012,129.2
United Republic of Tanzania,2002,144.6
United States of America,1980,2213
United States of America,1990,2169
United States of America,2000,1939
United States of America,2005,1864
United States of America,2010,1543
Uruguay,1965,236.4
Uruguay,2000,1100
Uzbekistan,1994,2473
Uzbekistan,2001,2415
Uzbekistan,2005,2106
Venezuela (Bolivarian Republic of),1970,333.7
Venezuela (Bolivarian Republic of),2000,356.9
Venezuela (Bolivarian Republic of),2007,817.8
Viet Nam,1980,665
Viet Nam,1985,708.7
Viet Nam,2005,956.4
Yemen,1990,221.4
Yemen,2000,180.5
Yemen,2005,164.3
Zambia,1992,203.7
Zambia,1994,174.7
Zambia,2002,141.1
Zimbabwe,1987,127.9
Zimbabwe,2002,331.3
Zimbabwe,2007,268.5
